,League,Season,Team,Sequence
104,Bundesliga,2005,Schalke 04,"[3, 3, 1, 1, 1, 1, 3, 3, 1, 1, 0, 3, 1, 3, 3, 3, 0, 3, 1, 1, 3, 3, 3, 3, 3, 0, 1, 0, 1, 1, 1, 3, 0, 3]"
105,Bundesliga,2005,Stuttgart,"[1, 0, 1, 1, 3, 0, 3, 1, 1, 1, 1, 3, 1, 1, 1, 3, 3, 0, 1, 1, 0, 3, 3, 1, 1, 1, 0, 0, 3, 1, 0, 0, 3, 0]"
106,Bundesliga,2005,Werder Bremen,"[3, 3, 1, 3, 3, 0, 3, 3, 3, 1, 3, 0, 3, 0, 3, 3, 1, 3, 3, 1, 0, 3, 3, 1, 0, 0, 3, 3, 3, 1, 1, 3, 3, 3]"
107,Bundesliga,2005,Wolfsburg,"[1, 1, 3, 0, 1, 3, 3, 0, 3, 1, 0, 1, 0, 1, 0, 0, 0, 0, 3, 0, 1, 0, 3, 1, 1, 0, 1, 1, 0, 1, 3, 0, 0, 1]"
108,Bundesliga,2006,Aachen,"[0, 0, 3, 3, 0, 3, 3, 0, 0, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 0, 1, 3, 1, 3, 3, 3, 0, 0, 0, 0, 0, 0, 1, 0]"
109,Bundesliga,2006,Bayern Munich,"[3, 3, 1, 0, 3, 0, 3, 0, 3, 1, 0, 3, 3, 3, 1, 3, 3, 0, 1, 0, 3, 0, 3, 3, 1, 0, 3, 3, 3, 0, 0, 1, 3, 3]"
110,Bundesliga,2006,Bielefeld,"[1, 0, 0, 3, 0, 3, 1, 3, 3, 1, 1, 3, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 3, 1, 0, 3, 3, 3, 3, 0]"
111,Bundesliga,2006,Bochum,"[0, 0, 0, 1, 3, 0, 0, 1, 0, 3, 0, 1, 3, 0, 3, 0, 3, 0, 1, 1, 0, 3, 1, 0, 3, 0, 3, 3, 0, 3, 3, 3, 0, 3]"
112,Bundesliga,2006,Cottbus,"[0, 1, 3, 3, 1, 0, 0, 3, 3, 1, 0, 1, 0, 0, 0, 0, 1, 3, 1, 1, 0, 0, 3, 3, 0, 3, 1, 3, 3, 0, 3, 0, 0, 0]"
113,Bundesliga,2006,Dortmund,"[0, 1, 3, 3, 0, 1, 3, 1, 1, 1, 1, 3, 0, 1, 3, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 1, 0, 3, 0, 3, 3, 3, 3, 0]"
114,Bundesliga,2006,Ein Frankfurt,"[1, 1, 1, 3, 1, 1, 1, 1, 0, 3, 3, 0, 0, 1, 3, 0, 0, 0, 1, 1, 1, 0, 0, 3, 1, 3, 1, 0, 3, 0, 0, 3, 3, 0]"
115,Bundesliga,2006,Hamburg,"[1, 1, 1, 0, 1, 1, 0, 3, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 3, 3, 3, 3, 1, 1, 3, 0, 3, 1, 3, 0, 3, 3]"
116,Bundesliga,2006,Hannover,"[0, 0, 0, 3, 1, 1, 1, 0, 1, 0, 3, 0, 3, 3, 3, 1, 0, 0, 3, 3, 1, 3, 3, 0, 1, 1, 0, 0, 0, 3, 3, 3, 0, 0]"
117,Bundesliga,2006,Hertha,"[1, 3, 1, 3, 1, 1, 0, 3, 0, 3, 1, 1, 3, 3, 0, 0, 3, 3, 0, 3, 0, 0, 1, 0, 0, 0, 0, 1, 3, 0, 3, 0, 0, 3]"
